,내용,등록일
70,1 21년 7월 6일 통신사통해 개통하여 새 폰 S21 플러스 제품받음2 다음날 7월7일 개봉후 확인하니 화면이 누런 오줌액정 제품인것을 육안 및 타제품S21 기본형 2개LGV30과 비교 확인 비교사진  첨부3 7월 9일 서비스센터1에 방문 교품증 요청하였으나 누런액정은 제조공장시기라인에 따라 어쩔수없는 차이 이며 이것은 교품증 발급사유가 안되며 고객님이 받아들여야한다고 함 누런것이 심해 비교사진을 보여드릴려하나 그럴필요없이 그냥 교품사유가 안된다고함 추가 질문으로 같은 라인 같은시간 같은공장에서 생산된 123번 제품이 있는데 2번 제품이 오줌액정이라면 13번도 같은 오줌액정 생산제품이냐고 물으니 꼭 그런지만은 않다는 어이없고 불친절한 답변프로 기사님의 불친절 불성실 불명확한 답변 녹취보유 을 듣고 어이없어 그냥 나옴4 7월 10일 혹시나 싶어 다른 서비스센터2에 방문 먼저 1층에 디지털프라자에 있는 S20S21S21플러스S21울트라와 본인폰과 비교를 해봄 본인폰만 확연히 액정이 누런것이 확인됨 이후 서비스센터가서 3과 같은 문의 및 교품증 요청을 하나 안된다는 동일 답변을 받음5 폰 교체주기가 잦은 본인은 아이폰 및 LG OLED액정폰을 지금까지 사용하였음 그동안 오줌액정인 폰이 나온적이 없었고 초기불량으로 교품 해주지 않은적도 없었음 허나 이번 갤럭시S 21 플러스에서는 오줌액정 초기불량 제품을 받고 한번도 사용안한제품을 교품밪지못하고 23년 써야한다는거에 글로벌 기업 삼성전자에 매우 실망함 90년대 이건희 회장님이 강조하던 품질경영은 21세기 넘어오면서 원가절감불량경영으로 슬로건이 바꼇나봄이러한 품질로는 중국업체들에 따라 잡힐것이고서비스로는 아이폰에 뒤쳐지고 있다고 생각함어쩔수없이 누런액정을 안고가고 23년뒤엔 아이폰의 호환성기능성이 향상된다면 무조건 갈아탈것임글로벌 한국기업 중 현대기아차나 2차전지 기업들의 제품불량에 대한 사후처리리콜업데이트보상 등 같은것에 배울필요 있다 생각함 조만간 배터리 화재이슈와 같은 액정이나 서비스관련 큰 이슈가 생기지 않을까 싶음ps 누런액정 제외하고는 내구성성능기능 등이 완벽하다 생각함 그래서 더더욱 열받음첨부사진의 큰 제품이 S21플러스   작은 제품은 S21 기본 모델,2021.04.12. 23:20
71,  3일 전에 디프에서 S21 구입하고그동안 인터넷만 써서 그런가 발열 증상이 없어서양품 받았다 생각하고 좋았었는데오늘 테스트 할 겸 카메라를 20분 정도 구동해보니확실히 발열증세가 있네요 특히 폰 테두리 부분이 금속으로 되어 있어서 그런가 거기가 특히 뜨겁네요한창 뜨거울 때 측정해보니 417도 까지 올라가네요만족하면서 쓰고 있었는데 발열문제는 좀 아쉽네요불량은 아닌듯한데 양품도 아닌거 같아 좀 그렇네요,2021.04.12. 18:57
72,장점1 후면 이쁨2 플랫 디스플레이 보호필름 붙이기 굿3 베젤 극한으로 줄여준 거 굿단점1 뜨거움2 뜨거움3 뜨거움,2021.04.08. 20:08
73,1 터치감 마지막에 질 낮은 필름쓰다와서 그런지     터치감 죽입니다2 노트 납작한 화면에 기변 망살였는데 한손조작에      편의성이 있네요오타도 줄었음3 가볍다단점화면이 q로쓰다 f로 써서 그런가 일반인눈으론          체감힘들다 했는데 약구린게 체감되네요         발열은 그런대로 쓸만한대요,2021.04.06. 16:14
74,안녕하세요 일단 두서 없습니다분노로 인한 교체하고 사용했기에아직도 배신감이 울트라11현재 중국출장을 주기적으로 다니고 있는 직장인 입니다 코로나 터지면서 한국에 일년반을 못 들어오게 되니 자연스레 현지 플래그쉽도 한번 써보고 싶더군요기변증 과다국내폰도 6개월  1년에 한번씩교체 해서 노트텐  아이폰11프로맥스  샤오미 미 11울트라로 해서 최근엔 미 11울트라를 사용했습니다 삼성이 개발한 카메라 gn2 최신 모듈 적용 스냅 888등등 최고 사양이였드랬죠 미국에서도 규제 푼 만큼 샤오미는 개인정보 걱정도 없었고 보안 관련쪽도 모르는건 아니라 현존 사양 최고 깡패인 미11울트라 기대감을 갖고 사개월정도 사용했습니다 미11 울트라 발열 최상급  군인 핫팩 혹한기때 화상입는것만큼 뜨거워짐너무 뜨거워 지다보니 결과적으론 bga쪽이망가진거같다더군요 다시 중출가서 교체요청은 할 생각네 보드가 뻑났습니다 4개월만에 탄게아니라 발열때문에 부품이 떨어져나간것 비슷한거죠갤럭시 울트라 발열은 그에 비하면 귀염둥이네요상대적으로 최악의 발열제품 쓰고와서 그런지샤오미로 루팅하고 롬질하고 이것저것 테스트하다와서 그런지 역시 갤럭시가 좋더군요사진 품질은 전 아직 울트라11이 더 좋긴 한거같아요일단 결과적으로 최악의 발열제품을 써보고똑같이 혹은 더 가혹하게 갤트라 쓰고있는데전 6월 생산품이라 그런지 그리 신경쓰일만헌발열은 못느껴봤습니다일단 전 호 입니다,2021.04.06. 16:01
75,가끔 화장실가거나 밥먹을때 웹서핑  유튜브혹은 카톡  유튜브 조합으로만 사용하는데 40도를 상회하니 손이 뜨끈뜨근하네극찬했던거 다 취소다 사용환경  4개월차 백그라운드 어플 거의X 멜론카톡티맵유튜브가 주 어플 그마저도 2개이상 동시사용 안함                    저장공간 사용율 18 항상 최신 소프트웨어 업뎃 게임X뭘 더 얼마나 라이트하게 써야 발열이 안생겨애플페이만 나오면 바로 갈아탄다질문추천 금지 X,2021.04.05. 22:14
76,22소식이들리긴하지만 21울트라는 제기준에서는 그감 사용한 휴대폰중에 최고입니다G4G5G7G8엘지만 사용하서 그런지도아이 멀리서도 3배줌 찰칵10배줌은 덤퇴근길 느낌을 담아 찰칵 음식도 찰칵 최대단점은 용량이 기존 휴대폰에서 넘어온 사진과현재 사진 동영상하니420기가잔여는 약 90기가윽아이폰 12미니를 서브로 가지고있지만거의 사용안하게되네요다만 동영상감성은 아이폰은 더 좋은거같습니다외장메모리지원 되는 시리즈 나오면 기변 고려해봐야겠네요,2021.03.30. 16:40
77, 4일된 s21입니다높은건가요,2021.03.29. 22:19
78,S10E에서 넘어온지개통 4일 차네요 아직 배터리 학습 기간이지만 발열 때문에 많이 아쉽네요 크고 빠릿 하고 120hz라서 좋은데온도 며칠간 측정해보니정말 장시간 가만히 뒀을때30도키자말자 33도유투브 보거나 인터넷 서핑시 3637카메라 킬때가 특히 발열이 심하네요 카메라키고 유투브 보고 다중 실행 해보니 39도까지 올라가네요 써멀가디언이 40도 이하로 설정해놓은건지 빨간점 모두 다중 작용시 저정도 올라가네요부모님 휴대폰이 s10 5g셔서 비교해보니평소 28도유투브 웹서핑시 32도다중작업시 356도네요업데이트로 발열 잡았다지만 그래도 인터넷 조금하자말자 36 7도까지 올라가서 따뜻해지니 은근히 스트레스 받네요 다른분에 비하면 덜 심해서 양품인걸로 확인되나35도 정도가 적당히 발열 생각 없이 사용할 수 있는 좋은 제품인것 같네요5도 차이로 이렇게 뜨거워진거를 확실히 체감하고 있어요성능은 좋은데 그리고 2년만에 폰 바꿔서 좋지만 발열때메 그닥 추천은 안하고 싶어요 s20으로 살걸저보다 발열 더 심하신분들은 진짜 화상입을것 같은데 얼른 삼성이 패치를 해주던가 리콜은 하던가 했음 좋겠어요이상입니다 하하 ,2021.03.28. 20:29
79,발열 입니다평소 데이터 다운 받거나 하면 좀 열 오르는듯한 느낌정도 뜨겁다 느낀적은 없어서 오늘 오딘 게임 한번돌려봤습니다 배터리는 녹네요1시간 11분 게임 돌린 온도인데 폰이 뜨근하네요,2021.03.28. 17:54
80, 폰바꾼지 2주다되어가고있어요s105g쓰다가 넘어왔는데 가볍고 기기도작고 만족해요 다만배터리가살짝빨리 닳는다는 기분 아무래도 전께 배터리용량이 커서 그런거같습니다발열도 괜찮은거 같아서 뽑기를 잘한거같아요조심히 안망가지게 써야겠어요혹시 카메라필름뭐쓰시나요 카툭튀라서 뭐라도 붙여서 써야할꺼같은데 ,2021.03.27. 20:35
81,저는 발열이 나진 않는데 배터리 소모가 너무 빨라요 아침에 완충하고 3시에 집에오니 32 남았어요 거의 안썼는데 배터리 교체하면 발열이 날까봐 걱정되서 서비스 못받을거 같아요 서비스센터 가야하나요,2021.03.25. 13:55
82,21 2달째 사용중입니다 제폰은 딱히 발열도 없고 버벅거림도 없어서 21에 만족하면서 사용중이었어요 아침에 눈뜨자마자 카페에서 흑화현상으로 AS후 발열을 잡으셨다는 글을 보고 10분도 안되서 제폰이 흑화가 되었습니다 하도 흑화 관련 글이 많아서 남의 일 같았는데 저한테도 생기다니전화도 되고 심지어 흑화상태로 아침에 삼성페이 결제해서 커피까지 사먹었습니다 애들 등교시키고 서비스센터 가서 앞판 통채로 교체받았습니다AS 기사님한테 원인이 뭐냐고 물으니 보드랑 디스플레이랑 접촉불량인거 같다고 하시더군요 더 말해서 뭐하냐는 느낌이 들어서 그냥 왔습니다 또 흑화현상이 생길까봐 걱정도 되는데 일단 액정필름이 깨끗해져서 좋네요 큰 욕심없이 2년만 버텨줬으면 좋겠습니다 ,2021.03.24. 07:18
83,갤21플러스갑자기 화면만 꺼지더니 진동이랑 나머진 다 되길래카페에서 우연히 본 흑화현상 나도 당첨이구나 생각했습니다카페글보고 무상이래서 바로 가서 수리받았습니다액정이랑 프레임 배터리 일체형이어서 싹다 교환 받았는데중요한건 발열이 체감이 될 정도로 줄었습니다게임하진 않아도 유튭켜놓고 인터넷하면 발열이 꾀있었는데줄었어요 왠진 모르겠습니다 발열 줄었길래 기대하며 긱벤치 돌려봤는데 발열 안 줄었네요 성능도 줄었더군요 유의미한 차이는 아니지만 싱글 수리전 공초 후 측정했을때 1000점 넘었눈데 지금은 900점대 후반 나오더라구요여튼 발열은 줄어서 좋습니다,2021.03.20. 16:50
84,초반엔 두려웠어요 왜냐면 연동성 그리고 심플한 ui 애니메이션 또 성능은 아직 애플이 한참 좋지 않을까 하고 아이폰에 너무 익숙해져있어서 걱정했는데 막상 설정 다 마치고 2시간정도 사용해보니 왜 걱정했지 라는 생각이 들었네요 일단 폰을 4년만에 바꾼거라 더더욱 성능에서 체감이 확 들었어요 화질도 좋고 안드로이드도 엄청 좋아졌더라구요물론 아직 고사양게임 같은건 애플쪽이 더 원활한것같지만 그거 제외하고는 안드로이드가 기능도 더 많고 상당히 좋은것같아요 너무 너무 맘에 듭니당 이상 후기 마칩니다,2021.03.19. 20:25
85,노트8 쓰다가 넘어왔는데 발열 정말 너무하네요s21 출시하기전에 엑시노스 광고하는거 보고 사기로 결정했는데 삼성 정 떨어집니다웹서핑만 해도 40도 넘어가면서 120hz 채우지못하고 성능제한하면서 조금씩 버벅거리고 앞으로 바꾸면 다른 회사쪽으로 결정해야겠어요 ,2021.03.18. 15:43
86, 축구 끝나자마자 온도 와일드 스트레스 끝난후 미칩니다 성능이 반토막났네요 와일드끝난후 온도최고 47도 찍은후에는 더 올라가지는 않고 배터리만 약간 떨어집니다 하지만 긱벤치측정해보니 아주 쓰레기폰이 되었네요 참고로 열이 심하면 렉도 심하고 멈추기도 합니다 열이 심할경우 증상위 사진은 열이 심할경우 화면이 멈추면서 위의 증상이 보여지기도합니다 물론 최신업데이트한겁니다 공초도 되어있구요 테마도 안깔고 그냥 순정으로 씁니다 발열은 확실히 잡혔습니다 온도는 47도 이상올라가지 않고 오히려 내려갑니다 그로 인해 성능은 기존보다 더 떨어집니다 렉도 더 심하고 이건 최신폰인지 옛날폰인지 모르겠네요 전 갤럭시는 이폰이 마지막일듯합니다아무리 기술의 발전으로 100배 뭐 이런거 나오더라도 실생활에 이런식으로 불편하고 열로 인해 성능이 이런식으로 떨어진다면 굳이 사야 되는건지 모르겠네요 거기다 21기본도 아니고 21울트라16램에512기가 제일최신폰인데 참나 이건뭐 답이 안나오네요 꼴랑 축구 2시간 봤다고 이정도로 성능저하가 나오다니 기대는 안하지만 정말 내년22도 이런식이면 삼성은 끝날듯합니다 갤럭시 최신폰에 대한 이미지는 최악으로 끝이네요작년노트20도 카메라가 쓰레기였음,2021.03.18. 13:55
87,질문추천 금지 X 전반보고 후반보고 있는지금 배터리는 85 온도는 43도  현재 폰 상태는 겁나게 뜨겁고 렉걸린것처럼 화면 스크롤도 버벅버벅도대체 폰으로 보라는건지 말라는건지휴 13분뒤47도  ,2021.03.18. 08:05
88,G8에서 S21로 옮긴다고 글 올리고 걱정해 주신분들이 계셨지만깨진 액정을 보고 그냥발열 보는 cpu mmonitor 앱으로 보시던데 저도 설치해보았어요아래 캡처와 같이 앱을 정리해주는 기능인거 같은데 정리 후 바로 다시 보면 앱이 그대로 보이는데 다른 설정이 필요한가요,2021.03.17. 15:55
89,싱글1090에 멀티 3670정도 나오네용  ,2021.03.16. 18:47
90,평소 사용량은 인터넷 카톡 유튜브 이메일 화상회의 정도입니다 인스타페북 같은 SNS는 안합니다 아래는 제가 해놓은 설정인데요다크모드절전모드 화면주사율 60hz  AOD 꺼짐네트워크 사용환경  와이파이 80 LTE 20자연스런 화면 셋팅편안하게 화면보기초고속충전고속충전고속무선충전 모두 off개발자옵션   창 애니메이션 배율 사용안함  전환 애니메이션 배율 사용안함  Animator 길이 배율 05xThermal Guardian 상 온도그래프 가장 왼쪽으로 셋팅배터리도 엄청 오래가고 화상회의 켜놓고 네이버앱  인터넷 및 카톡 동시에 해도 열이 거의 안올라오는 경지에 이르렀습니다2021년에 플래그십 모델 사용법그냥 허탈합니다 ,2021.03.16. 14:11
91,어제일자로 갤s10 5g에서 s21울트라로 넘어왔는게 무게감이 덜덜하네요,2021.03.16. 00:15
92,이틀차 후기입니다120hz는 처음써보는데 체감많이옵니다역체감이 크다고들 하던데저는 처음볼때부터 순체감이 더 컷습니다드레그할때 진짜 부드럽네요 뽑기는 실패한듯 발열 있습니다특히 카메라키면 훅오네요게임할때도 손난로되고 그렇네요같은게임 같은옵션으로 돌리면 전에 쓰던 G7보다도 뜨겁습니다근데 이것보다 짜증나는게 화면이 좀 누렇습니다붉은끼를 누렇게 커버한것 같기도 하고요화면 누런거는 s시리즈 종특인지s10e때도 그러더만 s8때는 벚꽃에디션으로 액정갈았었는데제조월은 2105이고 구입처는 11st입니다 자급제폰이며 829만원 줬습니당,2021.03.15. 20:56
93,발열있고 화면 누렇고 뽑기 실패한듯 하네요s8 s10e 다 그러더만 s21도 실패한듯일부러 출시반년넘기고 샀는데 의미없는듯요카메라 30초 켰는데도 손에 열기가 느껴져요카메라 화질도 생각보다 별로고 광고에는 찍은사진 확대해도 안깨지더만 저는 한뼘만 확대해도 자글자글하구만요아이폰12프로 살려다 너무비싸서 s로 간건데살짝 실망감 드는데요 80초반주고 산거니 그려려니 하고 써야하나열 올라오는거 봐서는 게임 못할것 같은뎅,2021.03.13. 10:49
94,오늘 드뎌 받아왔습니다 s21요집 사람꺼는 개통은 안됐고 기기수령은 했습니다자녀꺼는 개통은됐는데 기기는 택배수령이라 지금 없어요일단 집사람 폰 업데이트해봤는데 데일 뻔 했습니다속으로 X됐다 싶었어요 뽑기가 잘못되었단 생각에 내심 당황스러웠어요그래서 이것저것 검색해서 디바이스 초기화해봤죠안되는거에요  죽겠더라구요공장초기화 얘기있길래 찾아봤습니다이것은 pc와 연결해서 하는거더군요어라 이런 미지근함은 뭘까잡혔나그래도 안심이 안됐어요 그래서 유투브 30분 돌렸습니다집사람이 게임은 안하고 동영상 시청을 자주해요 전혀 열이 안느껴져요이럼 발열 걱정없는건가요다른 테스트가 더 필요할까요디바이스초기화랑 공장초기화가 다른건가요공장초기화가 필요했던 폰은 첨이라서요암튼 일단 안심이에요 참고로 기변 특가로 샀는데 예약하고 오늘가니 만원 더 싸졌네요 흐뭇자녀폰도 이제 발열 걱정접어야겠어요 있다해도 방법을 알았으니어제 희망적인 댓글 적어주신 분들이랑걱정해주고 조언해주신 분들 모두 감사드립니다다들 각자 사용경험을 공유해주시고 신경써주셔서 힘이됐습니다 덕분에 잘 쓰겠습니다주말 잘 보내세요,2021.03.12. 16:10
95, S10쓰다가 메인보드 불량판정받고S21U로넘어왔습니다발열 이슈 때문에살까 말까고민했지만 막상 써보니 발열도괜찮은 거같네요오랫동안문제없이 사용했으면 좋겠네요,2021.03.12. 02:41
96,아이폰12프맥쓰다가 제 손목이 더 이상은 견디지 못하는것같아서 노트20울트라랑 s21중에 추천도 받고해서 s21로 왔어요 당에서 6월제조에다가 29일구매하셔서 파는걸루 미개봉 자급제로 구매했네요 약정랑 할부노예하기 싫었는데 자급제 너무좋네요 ,2021.03.11. 19:22
97,S21사용하고있구요충전중에 온도가 40도까지 올라간 적이 있었는데이렇게 뜨네요3번째 이모티콘까지 올라야하는거 아닌가요,2021.03.07. 15:55
98,성능은 s21이조금 빨라요 발열은  ,2021.03.07. 04:31
99,실내 에어컨 바람아래서 사용 시엔 웹서핑을 하든유튜브를 보든 에어컨이 쿨러 역할을 해줘서 발열이 거의 안나는 반면에 집제 방에는 에어컨이 없기에데이터로 유튜브 시청시 온도가 올라가는게 느껴집니다와이파이로 볼땐 온도가 다시 내려갑니다 S10때도 게임안해도 뜨거운 발열을 느껴본적 있고어떨땐 오히려 S10보다도 발열이 덜해서 그러려니 잘 쓰고 있네요,2021.03.07. 01:01
100,배터리 충전도 이상하고 액정도 다깨져서 바꿨습니다,2021.03.06. 21:13
101,무선충전만하면 무슨 발열이 화룡이 되어버리네요s9플 쓸땐 괜찮았는데,2021.03.05. 10:46
102,48Hz120Hz 가변 주사율이라 해봤자 정말 별거 없고 pip 영상 같은 거 꺼내면 프레임이 안 맞아서 오히려 끊기는 S20보다 못한 뒤죽박죽이 됩니다 이게 해결되지 않으면 정말 별로네요 4800mAh 가변 주사율이어도 배터리가 오래가는 느낌 없습니다 오히려 더 빨리 닳는 것 같아요,2021.03.02. 22:39
103, 특히 모바일배그 시간당 1215먹네요,2021.03.02. 14:08
104, 갤럭시 S21 5G 바이올렛인 256GB입니당성능도 좋구폰도 끄고 아주 좋아요갤럭시 JUMP사려구 했는데너무 구져보이고 무거워서이걸로 바꿨습니다,2021.03.02. 10:20
105,무게가 체감이 되네요 디지털프라자에서 몇번을 만져보고 이정도면 무게 괜찮겠다 싶었는데잠깐 볼때 만져보는거랑 실제 사용하는건다르군뇨  제가 너무 이놈을 얕본거 같아요전 발열 보다 무게가 적응이 될런지 모르겠어요,2021.03.01. 23:20
106,기존 노트20울트라에서 카툭튀와 무게 때문에 플랫화면을 좋아해서 S21로 바꿨습니다캠퍼스스토어 통해서 구매했고 제조일도 6월로 최신이라 좋네요처음 받아서 이번 발열 업데이트 안되어 있어서 바로 했는데 업데이트 할때 좀 뜨거웠는데실사용에서는 괜찮네요게임은 안하고 유튜브 카톡 넷플릭스 정도 하는데 발열 없이 좋습니다개인적으로 갤럭시S2부터 써오던 삼성 골수 유저인데 갤럭시S7때가 더 뜨거웠던거 같네요 ,2021.03.01. 18:40
107,안녕하세요 미국에서 스냅드래곤 버전  S21 울트라 구입했습니다구입후 며칠째 이것저것 해보는중인데 카메라는 확실히 직전 사용한 LG V40 ThinQ 대비 엄청나게 좋아진것 같습니다 당연한거겠지만요램 12기가에 256GB 버전에서 긱벤치5 돌려봤습니다 생각보다 싱글코어 점수는 높고 멀티코어 점수는 아쉽네요 3400 전후 기대했는데다행히 전 심각한 발열이나 제가 하는 마이너 게임에서 프레임 저하는 못 느꼈네요 최적화 업데이트 이후라 그런건지 최근 AP 공정 개선 때문인건지 그냥 뽑기가 나쁘지 않은건지 모르겠지만 여튼 만족합니다근데 폰을 흔들면 폰 안에서 부품 소리가 살짝들리는게 정상인건지요 제 와잎 S21도 그래서 종특인가 생각중입니다,2021.03.01. 04:11
108,출장와서 딸과 영통 10분남짓뜨거워서 못하겠네요발열패치 해도 영통 답없네요이거 기변밖에 답이 없을련지답답합니다출장동안 딸얼굴보기가 겁이날줄은,2021.02.27. 18:15
109,발열이 심하긴하네요게임안할땐 몰랐는데 가끔 폰게임 한두판하면한10분도 안돼서 진짜 뜨끈뜨끈열이 올라서인지 겜도끊기고,2021.02.27. 17:01
110,발열 업데이트 했는데 초창기에 사용 하던 울트라에 비해 온도가 많이 떨어졌네요예전에는 유튜브만 봐도 온도 올라가고 그랬는데업데이트 한후로 부터 온도가 유지가 잘 되네요저기 위에 온도 높다는 표시는 충전중이라 그렇습니다 ,2021.02.25. 22:31
111,물론 기기마다 다르다고 하긴 하지만기존 V50쓰다가 어제 막 개통하고 여러 앱을 동시에 다운 받거나스위치로 파일 옮길때 말고 크게 발열은 못느꼈었는데오늘 점심시간에 TFT 20분 정도 돌려보니까 발열 올라오긴하는데게임부스터 39도 찍히는 거랑 만져서 느껴지는건 V50과 비슷한 수준이네요좀 더 써봐야 알 거 같긴하지만크게 우려할 정도는 아닌거 같네요,2021.02.25. 20:25
112,최악입니다긴말안합니다 주변분들 사신다는분 말리시길,2021.02.25. 15:09
113,제목에는 간략한 질문내용 표시 사용기종   질문내용  구체적으로질문추천 금지 X간단한 게임 브롤도 케릭터가 드드드드드 끊겨서 이동하고 게임 두판정도 하면 발열때메 끄게 됩니다 와 진짜 뭐 이딴폰이 다있는지 s10 에서 넘어왔는데 최악이네요,2021.02.24. 19:04
114,S20을 1년 넘게 잘 사용해 왔었고 S21 로 한달넘게 사용하고 있었는데분명 다른 후기들에 비해 발열이 적다고 생각하고 있다가 요새 들어 날씨탓인지점점 더 올라오는 것 같아 서랍에 있던 S20과 비교해가면서 사용해봤습니다생각지 못했던 부분들이 있어 몇가지만 올려 봅니다1 사용환경   사용환경은 S20 과 S21 99 동일합니다   S20에 쓰던 설정 앱들 파일들 그대로 스마트스위치로 S21로 옮겼고    그 이후에 추가로 설치하거나 받은 파일들이 없었습니다2 발열   제 기억엔 분명 S20을 1년간 사용하면서 발열에 대해 신경 써본적 없었습니다    그런데 다시 사용해보니 인터넷이나 유투브 볼때 열감이 살짝 올라오는걸 느낄수 있었고    카메라 사용시  열이 많이 올라 오네요    S20으로 카메라 유투브 인터넷 게임 시 올라오는 발열감이 S21 사용할때와 체감상     차이를 느끼기 힘들었습니다   S21 사용관련 발열 이야기를 들어오며 신경이 더 쓰여서 플라시보 효과가 더해진건지    신기하더라구요3 쓰로틀링    이부분은 좀 짚고 넘어가야 할것 같습니다     제가 S20으로도 S21으로도 같은 카트라이더 게임을 하는데     발열은 비슷비슷한데 S21으로 게임할때가 터치 조작이 굼뜬 느낌입니다    제가 스피드전 위주로 해서 이 조작감이 더 민감하게 다가오는건데     S21 으로 게임시 터치조작감이 S20으로 2시간 넘게 플레이 하면 오는 조작감과     거의 비슷하거나 좀더 굼뜬 느낌이에요     이건 쓰로틀링이 걸릴때 나는듯한 조작감인데 S21은 시작하자마자 굼뜹니다    다만 이 현상이 몇일전 발열패치 이후 생겨난 현상이라는 게 문제라고 봅니다     분명 발열패치때 쓰로틀링 부분을 건들이거라고 밖에 느껴지지 않더라구요분명한건 이번 발열패치에 대한 보완 패치를 내주어야 될것 같습니다쓰로틀링을 조절한건 체감상 분명히 느껴지는 거 같아요다만 전 S21 일반형이라 그런지 발열감은 패치전과 별 차이가 안느껴지네요 ,2021.02.21. 15:07
115,직장에선 음악스트리밍과 웹서핑SNS 왔다갔다 하면서 썻는데도 발열이 크게 없었는데 집에 와서는 네이버 웹서핑수십분 했는데 뜨끈해지더니 거슬릴정도로 온도가 올라갔네요 네이버 앱 끄니 지금은 살짝 내려갔네요S21,2021.02.18. 14:28
116,발열이 진짜 개통한날부터 엄청 뜨거워가지고 폰이잘못됐다싶엇다가 업데이트하니 그래도 발열은 떨어진거같네요근데 배터리 원래이렇게 빨리닳나요s10쓰다가 21쓰니 진짜너무빨리닳네요,2021.02.17. 17:33
117,2월3일부터 구매후 쭉 사용중인데 이번 발열패치 후에도 수원에서 서울 가는 무궁화호 타면서 너무 뜨거워서 측정햇더니 40도 넘어가네요 지니 노래 들으면서 웹서핑만 하고 평소 겜도 안하는데 그래도 스트레스네요,2021.02.16. 20:24
118,갤9플 쓰다가 액정을깨버려서겸사겸사아이폰12랑 살포시 두달간고민6월초에 s21u구매후 너무뜨거워 반품하고아이폰은 안땡기긔 20보다 새폰이 좋을거같아서 다시도전해봣어요다행히 카메라 빼곤  높이올라가잇는곳은 전부 카메라폰켠지 12시간됫네요이정도면 온도괜찮은거죠 ,2021.02.14. 00:08
119,안녕하세요어제부로 s21 바이올렛 으로 넘어왔습니다  아이폰12 유저였음솔직히 단점은 많이 늦기지 못했습니다 아직 배터리도 학습중이라 발열 은 조금은 있습니다그런데 심한 정도는 아니구요 노울20 s21 고민하다가 s21 로 구매했는데 후회는 안합니다  플랫 지문인식 개빠름 삼페 최고 RAM 은 8G 라서 걱정했는데 뭐 하는게 톡 전화 문자 메일 유투브 이거 밖에 없어서 그런지부족함은 못느끼겠습니다 여러 글들보면서 망설이다가 모르겠닷 하고 구매했는데  엄청 좋네요 그런데 s21 시리즈 욕하는 사람이 왜이렇게 많은지그냥 자기가 만족하면 되는거 아닐까 조심히 후기 남겨봅니다 수고하세요 ,2021.02.12. 13:40
120,발열도 그렇고 배터리도 그렇고업데 전 보다는 좋아진거 같아요 ,2021.02.10. 13:34
